row_id,community_area,location_type,location_name,address,latitude,longitude,population_2023,median_age,poverty_rate_pct,household_income_usd,income_measure,hardship_index,food_desert_flag,food_access_issue_type,low_income_flag,distance_to_nearest_supermarket_miles,food_insecurity_rate_pct_citywide_estimate,food_insecure_population_est,google_rating,google_rating_count,phone_number,place_id,category
CHI-001,Englewood,grocery_store,Food 4 Less,"7030 S Ashland Ave, Chicago, IL 60636",41.76547,-87.6645,21411,31.1,46.6,22228,median_household_income,94,1,grocery_closure,1,,25,5353,3.9,1375,+1 773-349-9000,ChIJg2-W7qUvDogRmUUI7lMdsgo,supermarket_chain
CHI-002,Englewood,grocery_store,Englewood Square (Save A Lot),"850 W 63rd St, Chicago, IL 60621",41.78024,-87.6468,21411,31.1,46.6,22228,median_household_income,94,1,grocery_closure,1,,25,5353,4.2,724,+1 773-896-9800,ChIJCZnpFuMuDogRpReB99g9jUc,discount_grocery
CHI-003,Englewood,grocery_store,Go Green Community Fresh Market,"1207 W 63rd St, Chicago, IL 60636",41.77944,-87.6549,21411,31.1,46.6,22228,median_household_income,94,1,grocery_closure,1,,25,5353,4.8,112,+1 773-432-8111,ChIJfQUfCUwvDogRG8ZIPbdIiMA,independent_grocery
CHI-004,Englewood,grocery_store,A&J Food Market,"342 W 75th St, Chicago, IL 60621",41.75819,-87.6336,21411,31.1,46.6,22228,median_household_income,94,1,grocery_closure,1,,25,5353,4.4,107,+1 773-783-1611,ChIJq8m00jgvDogR3QtwLtqWR7Q,independent_grocery
CHI-005,Englewood,grocery_store,ALDI,"620 W 63rd St, Chicago, IL 60621",41.77982,-87.6407,21411,31.1,46.6,22228,median_household_income,94,1,grocery_closure,1,,25,5353,4.2,1020,+1 855-955-2534,ChIJSem64eAuDogRFRUFRhQde7s,discount_grocery
CHI-006,Englewood,grocery_store,Food Basket,"7205 S Halsted St, Chicago, IL 60621",41.76317,-87.6442,21411,31.1,46.6,22228,median_household_income,94,1,grocery_closure,1,,25,5353,3.8,57,+1 773-651-1681,ChIJV0u3PBEvDogRcFFTqn-5okc,independent_grocery
CHI-007,Englewood,grocery_store,Save A Lot (Halsted),"6202 S Halsted St, Chicago, IL 60621",41.78129,-87.645,21411,31.1,46.6,22228,median_household_income,94,1,grocery_closure,1,,25,5353,4.4,239,+1 773-488-6800,ChIJrwMvieMuDogRmh1myjJXeYs,discount_grocery
CHI-008,Englewood,grocery_store,N & A Food Market Inc,"1145 W 84th St, Chicago, IL 60620",41.74117,-87.653,21411,31.1,46.6,22228,median_household_income,94,1,grocery_closure,1,,25,5353,4.3,57,+1 773-966-5095,ChIJGVSzCHwvDogRTqAjfPg0PDs,independent_grocery
CHI-009,Englewood,grocery_store,Food 4 Less (87th St),"112 W 87th St, Chicago, IL 60620",41.73773,-87.6284,21411,31.1,46.6,22228,median_household_income,94,1,grocery_closure,1,,25,5353,4,1268,+1 773-358-4180,ChIJ-QnsS1YvDogRG25MS5liUUY,supermarket_chain
CHI-010,Englewood,grocery_store,Discount Meat Co,"341 W 79th St, Chicago, IL 60620",41.75044,-87.6334,21411,31.1,46.6,22228,median_household_income,94,1,grocery_closure,1,,25,5353,4.4,380,+1 773-994-0318,ChIJFVv2B0QvDogRg17TBFekmFk,specialty_meat
